,prob_move,Run,voters
0,0.0,0,11
1,0.0,1,10
2,0.0,2,15
3,0.011111111111111112,3,15
4,0.011111111111111112,4,16
5,0.011111111111111112,5,10
6,0.022222222222222223,6,12
7,0.022222222222222223,7,11
8,0.022222222222222223,8,16
9,0.03333333333333333,9,13
10,0.03333333333333333,10,11
11,0.03333333333333333,11,11
12,0.044444444444444446,12,12
13,0.044444444444444446,13,16
14,0.044444444444444446,14,13
15,0.05555555555555556,15,13
16,0.05555555555555556,16,10
17,0.05555555555555556,17,16
18,0.06666666666666667,18,14
19,0.06666666666666667,19,9
20,0.06666666666666667,20,11
21,0.07777777777777778,21,16
22,0.07777777777777778,22,7
23,0.07777777777777778,23,7
24,0.08888888888888889,24,11
25,0.08888888888888889,25,9
26,0.08888888888888889,26,7
27,0.1,27,8
28,0.1,28,13
29,0.1,29,8
