,prob_link,Run,voters
0,0.25,0,58
1,0.25,1,61
2,0.25,2,67
3,0.25,3,67
4,0.25,4,59
5,0.25,5,57
6,0.25,6,55
7,0.25,7,66
8,0.25,8,56
9,0.25,9,67
10,0.3055555555555556,10,68
11,0.3055555555555556,11,61
12,0.3055555555555556,12,58
13,0.3055555555555556,13,71
14,0.3055555555555556,14,67
15,0.3055555555555556,15,55
16,0.3055555555555556,16,50
17,0.3055555555555556,17,57
18,0.3055555555555556,18,65
19,0.3055555555555556,19,66
20,0.3611111111111111,20,63
21,0.3611111111111111,21,66
22,0.3611111111111111,22,58
23,0.3611111111111111,23,53
24,0.3611111111111111,24,65
25,0.3611111111111111,25,55
26,0.3611111111111111,26,71
27,0.3611111111111111,27,58
28,0.3611111111111111,28,62
29,0.3611111111111111,29,61
30,0.41666666666666663,30,63
31,0.41666666666666663,31,55
32,0.41666666666666663,32,62
33,0.41666666666666663,33,54
34,0.41666666666666663,34,69
35,0.41666666666666663,35,65
36,0.41666666666666663,36,57
37,0.41666666666666663,37,69
38,0.41666666666666663,38,67
39,0.41666666666666663,39,60
40,0.4722222222222222,40,57
41,0.4722222222222222,41,65
42,0.4722222222222222,42,67
43,0.4722222222222222,43,67
44,0.4722222222222222,44,64
45,0.4722222222222222,45,62
46,0.4722222222222222,46,64
47,0.4722222222222222,47,63
48,0.4722222222222222,48,65
49,0.4722222222222222,49,60
50,0.5277777777777778,50,66
51,0.5277777777777778,51,68
52,0.5277777777777778,52,71
53,0.5277777777777778,53,63
54,0.5277777777777778,54,66
55,0.5277777777777778,55,62
56,0.5277777777777778,56,57
57,0.5277777777777778,57,72
58,0.5277777777777778,58,59
59,0.5277777777777778,59,60
60,0.5833333333333333,60,56
61,0.5833333333333333,61,60
62,0.5833333333333333,62,63
63,0.5833333333333333,63,57
64,0.5833333333333333,64,72
65,0.5833333333333333,65,58
66,0.5833333333333333,66,58
67,0.5833333333333333,67,62
68,0.5833333333333333,68,57
69,0.5833333333333333,69,63
70,0.6388888888888888,70,61
71,0.6388888888888888,71,81
72,0.6388888888888888,72,68
73,0.6388888888888888,73,58
74,0.6388888888888888,74,60
75,0.6388888888888888,75,61
76,0.6388888888888888,76,55
77,0.6388888888888888,77,71
78,0.6388888888888888,78,55
79,0.6388888888888888,79,62
80,0.6944444444444444,80,61
81,0.6944444444444444,81,63
82,0.6944444444444444,82,53
83,0.6944444444444444,83,63
84,0.6944444444444444,84,59
85,0.6944444444444444,85,69
86,0.6944444444444444,86,63
87,0.6944444444444444,87,58
88,0.6944444444444444,88,56
89,0.6944444444444444,89,65
90,0.75,90,58
91,0.75,91,72
92,0.75,92,58
93,0.75,93,54
94,0.75,94,59
95,0.75,95,55
96,0.75,96,67
97,0.75,97,56
98,0.75,98,68
99,0.75,99,72
