,prob_interaction,Run,voters
0,0.0,0,11
1,0.0,1,19
2,0.0,2,17
3,0.027777777777777776,3,12
4,0.027777777777777776,4,15
5,0.027777777777777776,5,11
6,0.05555555555555555,6,16
7,0.05555555555555555,7,11
8,0.05555555555555555,8,11
9,0.08333333333333333,9,12
10,0.08333333333333333,10,16
11,0.08333333333333333,11,13
12,0.1111111111111111,12,14
13,0.1111111111111111,13,11
14,0.1111111111111111,14,20
15,0.1388888888888889,15,12
16,0.1388888888888889,16,13
17,0.1388888888888889,17,16
18,0.16666666666666666,18,15
19,0.16666666666666666,19,22
20,0.16666666666666666,20,13
21,0.19444444444444442,21,16
22,0.19444444444444442,22,14
23,0.19444444444444442,23,17
24,0.2222222222222222,24,9
25,0.2222222222222222,25,13
26,0.2222222222222222,26,16
27,0.25,27,22
28,0.25,28,11
29,0.25,29,16
