,prob_interaction,Run,voters
0,0.0,0,5
1,0.0,1,7
2,0.0,2,13
3,0.0,3,9
4,0.0,4,18
5,0.0,5,12
6,0.0,6,8
7,0.0,7,9
8,0.0,8,14
9,0.0,9,8
10,0.027777777777777776,10,22
11,0.027777777777777776,11,19
12,0.027777777777777776,12,18
13,0.027777777777777776,13,15
14,0.027777777777777776,14,26
15,0.027777777777777776,15,31
16,0.027777777777777776,16,28
17,0.027777777777777776,17,47
18,0.027777777777777776,18,29
19,0.027777777777777776,19,20
20,0.05555555555555555,20,54
21,0.05555555555555555,21,46
22,0.05555555555555555,22,39
23,0.05555555555555555,23,45
24,0.05555555555555555,24,37
25,0.05555555555555555,25,43
26,0.05555555555555555,26,43
27,0.05555555555555555,27,28
28,0.05555555555555555,28,30
29,0.05555555555555555,29,41
30,0.08333333333333333,30,48
31,0.08333333333333333,31,58
32,0.08333333333333333,32,59
33,0.08333333333333333,33,62
34,0.08333333333333333,34,53
35,0.08333333333333333,35,48
36,0.08333333333333333,36,56
37,0.08333333333333333,37,60
38,0.08333333333333333,38,49
39,0.08333333333333333,39,51
40,0.1111111111111111,40,55
41,0.1111111111111111,41,42
42,0.1111111111111111,42,52
43,0.1111111111111111,43,69
44,0.1111111111111111,44,70
45,0.1111111111111111,45,61
46,0.1111111111111111,46,58
47,0.1111111111111111,47,64
48,0.1111111111111111,48,59
49,0.1111111111111111,49,53
50,0.1388888888888889,50,63
51,0.1388888888888889,51,58
52,0.1388888888888889,52,68
53,0.1388888888888889,53,61
54,0.1388888888888889,54,59
55,0.1388888888888889,55,60
56,0.1388888888888889,56,69
57,0.1388888888888889,57,65
58,0.1388888888888889,58,64
59,0.1388888888888889,59,69
60,0.16666666666666666,60,69
61,0.16666666666666666,61,65
62,0.16666666666666666,62,62
63,0.16666666666666666,63,69
64,0.16666666666666666,64,64
65,0.16666666666666666,65,64
66,0.16666666666666666,66,61
67,0.16666666666666666,67,57
68,0.16666666666666666,68,68
69,0.16666666666666666,69,70
70,0.19444444444444442,70,61
71,0.19444444444444442,71,57
72,0.19444444444444442,72,66
73,0.19444444444444442,73,69
74,0.19444444444444442,74,70
75,0.19444444444444442,75,73
76,0.19444444444444442,76,72
77,0.19444444444444442,77,70
78,0.19444444444444442,78,60
79,0.19444444444444442,79,79
80,0.2222222222222222,80,74
81,0.2222222222222222,81,73
82,0.2222222222222222,82,75
83,0.2222222222222222,83,68
84,0.2222222222222222,84,78
85,0.2222222222222222,85,78
86,0.2222222222222222,86,73
87,0.2222222222222222,87,78
88,0.2222222222222222,88,75
89,0.2222222222222222,89,72
90,0.25,90,75
91,0.25,91,75
92,0.25,92,85
93,0.25,93,76
94,0.25,94,82
95,0.25,95,82
96,0.25,96,67
97,0.25,97,62
98,0.25,98,75
99,0.25,99,79
