,prob_link,Run,voters
0,0.25,0,16
1,0.25,1,13
2,0.25,2,15
3,0.3055555555555556,3,20
4,0.3055555555555556,4,21
5,0.3055555555555556,5,15
6,0.3611111111111111,6,13
7,0.3611111111111111,7,12
8,0.3611111111111111,8,16
9,0.41666666666666663,9,15
10,0.41666666666666663,10,15
11,0.41666666666666663,11,17
12,0.4722222222222222,12,17
13,0.4722222222222222,13,10
14,0.4722222222222222,14,17
15,0.5277777777777778,15,13
16,0.5277777777777778,16,14
17,0.5277777777777778,17,22
18,0.5833333333333333,18,15
19,0.5833333333333333,19,16
20,0.5833333333333333,20,18
21,0.6388888888888888,21,12
22,0.6388888888888888,22,23
23,0.6388888888888888,23,18
24,0.6944444444444444,24,13
25,0.6944444444444444,25,12
26,0.6944444444444444,26,15
27,0.75,27,17
28,0.75,28,24
29,0.75,29,20
