,prob_stimulus,Run,voters
0,0.0,0,89
1,0.0,1,94
2,0.0,2,88
3,0.0,3,86
4,0.0,4,90
5,0.0,5,88
6,0.0,6,92
7,0.0,7,84
8,0.0,8,91
9,0.0,9,90
10,0.027777777777777776,10,76
11,0.027777777777777776,11,79
12,0.027777777777777776,12,86
13,0.027777777777777776,13,74
14,0.027777777777777776,14,73
15,0.027777777777777776,15,69
16,0.027777777777777776,16,87
17,0.027777777777777776,17,80
18,0.027777777777777776,18,81
19,0.027777777777777776,19,83
20,0.05555555555555555,20,70
21,0.05555555555555555,21,67
22,0.05555555555555555,22,70
23,0.05555555555555555,23,69
24,0.05555555555555555,24,71
25,0.05555555555555555,25,69
26,0.05555555555555555,26,82
27,0.05555555555555555,27,68
28,0.05555555555555555,28,69
29,0.05555555555555555,29,73
30,0.08333333333333333,30,70
31,0.08333333333333333,31,62
32,0.08333333333333333,32,73
33,0.08333333333333333,33,54
34,0.08333333333333333,34,66
35,0.08333333333333333,35,67
36,0.08333333333333333,36,68
37,0.08333333333333333,37,67
38,0.08333333333333333,38,62
39,0.08333333333333333,39,67
40,0.1111111111111111,40,69
41,0.1111111111111111,41,50
42,0.1111111111111111,42,49
43,0.1111111111111111,43,62
44,0.1111111111111111,44,65
45,0.1111111111111111,45,49
46,0.1111111111111111,46,65
47,0.1111111111111111,47,52
48,0.1111111111111111,48,70
49,0.1111111111111111,49,55
50,0.1388888888888889,50,55
51,0.1388888888888889,51,61
52,0.1388888888888889,52,71
53,0.1388888888888889,53,58
54,0.1388888888888889,54,78
55,0.1388888888888889,55,58
56,0.1388888888888889,56,55
57,0.1388888888888889,57,62
58,0.1388888888888889,58,60
59,0.1388888888888889,59,60
60,0.16666666666666666,60,61
61,0.16666666666666666,61,68
62,0.16666666666666666,62,53
63,0.16666666666666666,63,58
64,0.16666666666666666,64,53
65,0.16666666666666666,65,59
66,0.16666666666666666,66,66
67,0.16666666666666666,67,54
68,0.16666666666666666,68,50
69,0.16666666666666666,69,62
70,0.19444444444444442,70,56
71,0.19444444444444442,71,63
72,0.19444444444444442,72,49
73,0.19444444444444442,73,37
74,0.19444444444444442,74,57
75,0.19444444444444442,75,54
76,0.19444444444444442,76,41
77,0.19444444444444442,77,59
78,0.19444444444444442,78,50
79,0.19444444444444442,79,48
80,0.2222222222222222,80,58
81,0.2222222222222222,81,52
82,0.2222222222222222,82,46
83,0.2222222222222222,83,47
84,0.2222222222222222,84,60
85,0.2222222222222222,85,49
86,0.2222222222222222,86,50
87,0.2222222222222222,87,58
88,0.2222222222222222,88,51
89,0.2222222222222222,89,60
90,0.25,90,47
91,0.25,91,54
92,0.25,92,55
93,0.25,93,46
94,0.25,94,53
95,0.25,95,41
96,0.25,96,53
97,0.25,97,58
98,0.25,98,49
99,0.25,99,44
